Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps
1.42E+02,4.63E+00,-2.41E+01,-1.62E+01,-1.72E+00,5.61E-01,-1.68E+00,9.17E+00,-1.54E+01,-1.73E+01,,,,,150,1.42E+11
1.42E+02,-3.35E+00,-3.14E+01,-1.10E+01,9.80E-01,-3.42E+00,-4.67E+00,-2.69E-01,-2.21E+01,-1.14E+01,,,,,150,1.42E+11
1.42E+02,-9.29E+00,-1.91E+01,-1.72E+00,-2.39E+00,-2.25E-01,-2.78E+00,-2.08E+00,-2.17E+01,-1.10E+01,,,,,150,1.42E+11
1.42E+02,-2.00E+01,-1.32E+01,7.53E+00,-1.84E+00,2.27E+00,-3.22E+00,-9.55E+00,-9.39E+00,-7.01E-01,,,,,150,1.42E+11
1.42E+02,-9.14E+00,-2.82E+00,5.74E+00,-6.64E-01,8.98E-01,-1.50E+00,-1.06E+01,6.74E+00,7.33E+00,,,,,150,1.42E+11
1.43E+02,-7.21E+00,1.85E+00,2.18E+00,2.41E-01,-5.44E-01,3.36E-01,-9.09E+00,1.13E+01,3.90E+00,,,,,150,1.43E+11
1.43E+02,1.94E-01,7.65E+00,5.16E+00,1.03E+00,5.42E-01,1.82E+00,-1.16E+00,1.73E+01,6.64E+00,,,,,150,1.43E+11
1.43E+02,2.33E+00,-5.03E-02,-1.58E+00,1.79E+00,-4.60E-01,2.29E+00,1.94E+00,9.71E+00,-7.39E-01,,,,,150,1.43E+11
1.43E+02,-2.13E+01,-1.71E+01,5.87E+00,2.69E+00,-1.12E+00,2.72E+00,-2.06E+01,-7.32E+00,5.74E+00,,,,,150,1.43E+11
1.43E+02,-2.22E+01,-4.77E+01,-6.74E+00,1.80E+00,5.44E-01,3.30E+00,-1.89E+01,-3.85E+01,-7.94E+00,,,,,150,1.43E+11
1.43E+02,-4.68E+00,-1.05E+01,-3.39E+00,-5.36E-01,-8.40E-01,2.68E+00,-1.18E-01,-1.93E+00,-4.94E+00,,,,,150,1.43E+11
1.43E+02,2.55E+00,-6.43E+00,-2.90E+00,-1.22E+00,-1.69E+00,1.41E-01,7.67E+00,1.78E+00,-4.50E+00,,,,,150,1.43E+11
1.43E+02,1.38E+01,-3.68E+00,-4.16E+00,-1.19E+00,8.22E-01,-2.96E+00,1.84E+01,4.86E+00,-5.51E+00,,,,,150,1.43E+11
1.43E+02,-1.24E+00,5.06E+00,7.14E+00,7.84E-01,-4.18E+00,-4.33E+00,1.47E+00,1.44E+01,5.82E+00,,,,,150,1.43E+11
1.43E+02,-9.94E+00,-4.08E+00,1.27E+00,1.43E-01,3.13E+00,2.47E+00,-8.42E+00,5.43E+00,-5.90E-01,,,,,150,1.43E+11
1.43E+02,3.91E+00,-2.95E+00,1.90E+01,1.09E+00,2.84E+00,2.83E+00,7.28E+00,6.16E+00,1.77E+01,,,,,150,1.43E+11
1.43E+02,1.02E+00,-1.22E+01,-7.70E+00,-1.09E+00,-2.59E+00,4.49E-01,5.07E+00,-3.39E+00,-9.36E+00,,,,,150,1.43E+11
1.43E+02,5.06E+00,-3.02E+01,-3.06E+00,-6.51E-01,2.44E+00,-3.38E+00,8.83E+00,-2.13E+01,-4.18E+00,,,,,150,1.43E+11
1.43E+02,-8.88E+00,-2.32E+01,-6.15E+00,-1.78E+00,-2.27E+00,-3.94E+00,-7.02E+00,-1.36E+01,-6.71E+00,,,,,150,1.43E+11
1.43E+02,-1.64E+01,-1.54E+01,1.36E+01,-2.54E+00,2.70E+00,-3.41E+00,-1.63E+01,-5.62E+00,1.41E+01,,,,,150,1.43E+11
1.43E+02,-8.34E+00,-3.39E+00,8.17E+00,-1.26E+00,7.51E-01,-2.15E+00,-9.82E+00,6.21E+00,9.54E+00,,,,,150,1.43E+11
1.43E+02,-9.17E+00,-3.47E-01,2.37E+00,3.08E-02,-4.48E-01,2.30E-01,-1.13E+01,9.11E+00,3.92E+00,,,,,150,1.43E+11
1.43E+02,-3.68E+00,4.71E+00,3.67E+00,4.73E-01,2.20E-01,2.43E+00,-5.19E+00,1.43E+01,5.08E+00,,,,,150,1.43E+11
1.43E+02,2.15E+00,2.53E+00,2.33E+00,1.93E+00,-3.03E-01,2.45E+00,1.88E+00,1.23E+01,3.26E+00,,,,,150,1.43E+11
1.43E+02,-1.18E+01,-1.22E+01,4.01E+00,1.65E+00,-1.36E+00,2.48E+00,-1.08E+01,-2.44E+00,3.99E+00,,,,,150,1.43E+11
1.44E+02,-1.95E+01,-5.54E+01,-1.53E+00,2.34E+00,1.82E+00,4.50E+00,-1.63E+01,-4.62E+01,-2.63E+00,,,,,150,1.44E+11
1.44E+02,-7.54E+00,-1.36E+01,-4.54E+00,4.80E-02,-8.23E-01,2.87E+00,-2.87E+00,-5.14E+00,-6.18E+00,,,,,150,1.44E+11
1.44E+02,7.81E-01,-7.54E+00,-3.70E+00,-1.20E+00,-1.58E+00,6.04E-01,6.21E+00,4.21E-01,-5.50E+00,,,,,150,1.44E+11
1.44E+02,1.23E+01,-4.10E+00,-4.11E+00,-1.28E+00,-5.24E-01,-1.98E+00,1.75E+01,4.08E+00,-5.74E+00,,,,,150,1.44E+11
1.44E+02,4.99E+00,3.69E+00,8.96E+00,1.18E-01,-1.03E+00,-4.59E+00,8.65E+00,1.27E+01,7.90E+00,,,,,150,1.44E+11
1.44E+02,-1.99E+01,1.28E+00,3.52E-01,1.90E-01,-1.53E+00,9.98E-01,-1.80E+01,1.07E+01,-1.37E+00,,,,,150,1.44E+11
1.44E+02,5.27E-02,-4.06E+00,2.29E+00,2.95E-01,3.60E+00,3.65E+00,3.66E+00,4.95E+00,9.19E-01,,,,,150,1.44E+11
1.44E+02,1.66E+00,-9.93E+00,-7.12E+00,-1.09E+00,-4.33E-01,1.57E-01,6.29E+00,-1.41E+00,-8.58E+00,,,,,150,1.44E+11
1.44E+02,2.93E+00,-3.45E+01,-3.72E+00,7.10E-01,1.61E+00,-3.28E+00,7.09E+00,-2.57E+01,-4.77E+00,,,,,150,1.44E+11
1.44E+02,-5.67E+00,-1.93E+01,-5.24E+00,-1.81E+00,-1.26E+00,-3.67E+00,-3.25E+00,-9.85E+00,-6.02E+00,,,,,150,1.44E+11
1.44E+02,-2.06E+01,-2.01E+01,4.85E+00,-2.25E+00,3.43E+00,-3.19E+00,-1.98E+01,-1.03E+01,4.91E+00,,,,,150,1.44E+11
1.44E+02,-9.06E+00,-5.36E+00,6.06E+00,-1.62E+00,5.77E-01,-2.77E+00,-9.85E+00,4.36E+00,7.03E+00,,,,,150,1.44E+11
1.44E+02,-8.18E+00,-2.00E+00,2.89E+00,-8.09E-02,1.65E-02,-4.61E-01,-9.92E+00,7.55E+00,4.24E+00,,,,,150,1.44E+11
1.44E+02,-6.76E+00,4.44E+00,2.45E+00,5.95E-01,3.07E-01,1.71E+00,-8.29E+00,1.40E+01,3.65E+00,,,,,150,1.44E+11
1.44E+02,1.44E+00,5.29E+00,4.60E+00,1.59E+00,-2.65E-01,2.42E+00,9.74E-01,1.51E+01,5.37E+00,,,,,150,1.44E+11
1.44E+02,-1.40E+00,-4.01E+00,1.33E+00,1.73E+00,-7.07E-01,2.77E+00,-5.73E-01,5.77E+00,1.21E+00,,,,,150,1.44E+11
1.44E+02,-3.22E+01,-5.96E+01,-8.04E-01,2.14E+00,1.77E+00,6.30E+00,-2.95E+01,-5.02E+01,-2.10E+00,,,,,150,1.44E+11
1.44E+02,-8.87E+00,-1.88E+01,-6.73E+00,1.79E-01,-7.58E-01,2.77E+00,-4.39E+00,-1.02E+01,-8.56E+00,,,,,150,1.44E+11
1.44E+02,-4.79E-01,-8.03E+00,-3.15E+00,-1.26E+00,-1.89E+00,1.52E+00,4.96E+00,-7.97E-02,-4.97E+00,,,,,150,1.44E+11
1.44E+02,8.71E+00,-4.65E+00,-4.01E+00,-1.45E+00,-9.37E-01,-1.54E+00,1.41E+01,3.34E+00,-5.74E+00,,,,,150,1.44E+11
1.45E+02,7.72E+00,8.16E-01,6.29E+00,-8.22E-02,-1.98E-01,-5.21E+00,1.18E+01,9.67E+00,5.07E+00,,,,,150,1.45E+11
1.45E+02,-1.16E+01,6.59E+00,3.34E+00,7.49E-01,-4.61E+00,-2.86E+00,-1.01E+01,1.61E+01,1.50E+00,,,,,150,1.45E+11
1.45E+02,-3.73E+00,-5.46E+00,-4.26E+00,-5.03E-01,6.01E+00,4.01E+00,-1.75E+00,3.95E+00,-6.16E+00,,,,,150,1.45E+11
1.45E+02,3.71E+00,-5.58E+00,-1.07E+01,1.41E+00,2.23E-01,1.37E+00,7.55E+00,3.29E+00,-1.24E+01,,,,,150,1.45E+11
1.45E+02,1.73E+00,-4.04E+01,-7.24E+00,-8.84E-01,1.13E+00,-1.22E+00,5.70E+00,-3.16E+01,-8.94E+00,,,,,150,1.45E+11
1.45E+02,-4.38E+00,-2.04E+01,-3.49E+00,-1.60E+00,-1.46E+00,-3.93E+00,-1.68E+00,-1.10E+01,-4.67E+00,,,,,150,1.45E+11
1.45E+02,-1.76E+01,-2.06E+01,-5.08E+00,-2.57E+00,1.35E+00,-3.67E+00,-1.68E+01,-1.08E+01,-5.55E+00,,,,,150,1.45E+11
1.45E+02,-1.18E+01,-7.34E+00,4.49E+00,-1.20E+00,1.02E+00,-2.64E+00,-1.27E+01,2.40E+00,5.18E+00,,,,,150,1.45E+11
1.45E+02,-7.55E+00,-2.90E+00,1.15E+00,-2.43E-01,4.94E-01,-6.71E-01,-9.42E+00,6.66E+00,2.30E+00,,,,,150,1.45E+11
1.45E+02,-6.25E+00,1.90E+00,1.25E+00,4.35E-01,-4.86E-01,1.08E+00,-9.37E+00,6.67E+00,2.31E+00,,,,,150,1.45E+11
1.45E+02,7.76E-01,6.12E+00,5.27E+00,1.24E+00,-5.31E-02,2.32E+00,-1.85E-01,1.58E+01,6.17E+00,,,,,150,1.45E+11
1.45E+02,-4.79E-03,-2.15E+00,-5.94E-01,1.82E+00,-3.10E-01,2.65E+00,1.97E-01,7.65E+00,-4.74E-01,,,,,150,1.45E+11
1.45E+02,-3.16E+01,-4.22E+01,-1.89E+00,2.47E+00,4.31E-01,5.87E+00,-2.99E+01,-3.26E+01,-2.86E+00,,,,,150,1.45E+11
1.45E+02,-8.80E+00,-2.38E+01,-5.52E+00,1.35E+00,-1.26E-01,2.32E+00,-4.94E+00,-1.50E+01,-7.38E+00,,,,,150,1.45E+11
1.45E+02,-2.45E+00,-8.00E+00,-1.12E+00,-6.18E-01,-1.18E+00,2.11E+00,2.40E+00,2.63E-01,-3.22E+00,,,,,150,1.45E+11
1.45E+02,3.82E+00,-4.22E+00,-3.26E+00,-1.00E+00,-1.28E+00,-8.97E-01,8.89E+00,3.88E+00,-5.43E+00,,,,,150,1.45E+11
1.45E+02,1.05E+01,-1.00E+00,-2.55E+00,-1.36E+00,1.89E+00,-4.31E+00,1.46E+01,7.73E+00,-4.29E+00,,,,,150,1.45E+11
1.45E+02,-8.86E+00,7.38E+00,8.37E+00,7.30E-01,-7.06E+00,-3.69E+00,-6.99E+00,1.69E+01,6.67E+00,,,,,150,1.45E+11
1.45E+02,-6.44E+00,-4.33E+00,-2.91E+00,2.04E-01,7.57E+00,4.01E+00,-4.78E+00,5.12E+00,-4.96E+00,,,,,150,1.45E+11
1.45E+02,2.76E+00,-3.55E+00,-1.44E+01,4.99E-01,2.54E-01,1.26E+00,6.55E+00,5.28E+00,-1.64E+01,,,,,150,1.45E+11
1.46E+02,-3.60E+00,-4.18E+01,-9.46E+00,-1.54E+00,-1.58E-01,-1.36E+00,2.18E-01,-3.30E+01,-1.15E+01,,,,,150,1.46E+11
1.46E+02,6.27E-01,-2.02E+01,-1.27E+00,-1.39E+00,-5.89E-01,-4.22E+00,3.23E+00,-1.08E+01,-2.52E+00,,,,,150,1.46E+11
1.46E+02,-1.37E+01,-2.36E+01,-4.74E+00,-2.77E+00,1.62E-01,-3.82E+00,-1.31E+01,-1.38E+01,-5.29E+00,,,,,150,1.46E+11
1.46E+02,-1.18E+01,-8.21E+00,4.97E+00,-1.45E+00,-1.65E-01,-3.08E+00,-1.31E+01,1.48E+00,5.70E+00,,,,,150,1.46E+11
1.46E+02,-7.02E+00,-1.98E+00,2.61E+00,3.72E-01,9.02E-01,-6.24E-01,-9.35E+00,7.49E+00,3.72E+00,,,,,150,1.46E+11
1.46E+02,-7.99E+00,1.48E+00,-7.06E-01,6.11E-01,5.49E-01,1.50E+00,-1.03E+01,1.10E+01,-1.32E-02,,,,,150,1.46E+11
1.46E+02,1.48E-01,5.78E+00,3.95E+00,9.24E-01,-5.91E-01,2.73E+00,-1.01E+00,1.55E+01,4.41E+00,,,,,150,1.46E+11
1.46E+02,-6.22E-01,6.99E-01,-2.53E+00,1.23E+00,-9.07E-01,2.30E+00,-6.57E-01,1.05E+01,-2.66E+00,,,,,150,1.46E+11
1.46E+02,-2.78E+01,-3.31E+01,-1.47E+00,3.25E+00,-3.05E-01,5.37E+00,-2.65E+01,-2.34E+01,-2.35E+00,,,,,150,1.46E+11
1.46E+02,-1.07E+01,-3.03E+01,-3.19E+00,1.46E+00,6.76E-01,2.46E+00,-7.08E+00,-2.14E+01,-4.97E+00,,,,,150,1.46E+11
1.46E+02,-1.08E+00,-6.34E+00,-1.26E+00,-9.56E-01,-8.31E-01,2.14E+00,3.68E+00,1.99E+00,-3.26E+00,,,,,150,1.46E+11
1.46E+02,4.28E+00,-4.40E+00,-3.80E+00,-1.45E+00,-1.38E+00,-1.15E+00,9.24E+00,3.86E+00,-5.64E+00,,,,,150,1.46E+11
1.46E+02,6.33E+00,1.71E+00,1.06E+00,-8.01E-01,5.50E-02,-4.27E+00,1.01E+01,1.06E+01,-3.07E-01,,,,,150,1.46E+11
1.46E+02,-4.98E+00,7.07E+00,9.46E+00,4.86E-01,-3.30E+00,-3.16E+00,-3.22E+00,1.66E+01,7.95E+00,,,,,150,1.46E+11
1.46E+02,-7.40E+00,-6.72E+00,2.15E+00,2.61E-01,4.04E+00,3.52E+00,-5.83E+00,2.79E+00,3.44E-01,,,,,150,1.46E+11
1.46E+02,6.48E+00,-7.42E+00,-6.13E+00,1.17E+00,4.25E-01,1.78E+00,9.87E+00,1.63E+00,-7.80E+00,,,,,150,1.46E+11
1.46E+02,4.80E+00,-3.16E+01,-5.16E+00,-1.37E+00,-3.33E-01,-1.19E+00,8.50E+00,-2.27E+01,-6.64E+00,,,,,150,1.46E+11
1.46E+02,-2.63E+00,-1.98E+01,-6.74E+00,-4.83E-01,-3.68E-01,-4.24E+00,-2.73E-01,-1.04E+01,-7.96E+00,,,,,150,1.46E+11
1.46E+02,-1.28E+01,-2.63E+01,-6.46E+00,-2.37E+00,-1.04E+00,-2.40E+00,-1.22E+01,-1.65E+01,-7.05E+00,,,,,150,1.46E+11
1.46E+02,-1.61E+01,-1.01E+01,8.56E+00,-1.40E+00,2.34E+00,-3.59E+00,-1.69E+01,-3.08E-01,9.04E+00,,,,,150,1.46E+11
1.47E+02,-7.65E+00,-2.42E+00,5.61E+00,-6.26E-01,1.20E+00,-1.33E+00,-9.81E+00,7.09E+00,6.64E+00,,,,,150,1.47E+11
1.47E+02,-1.13E+01,2.77E+00,4.47E+00,3.66E-01,-8.92E-02,9.81E-01,-1.37E+01,1.22E+01,5.54E+00,,,,,150,1.47E+11
1.47E+02,4.67E-01,6.61E+00,6.77E+00,1.06E+00,-6.90E-01,2.71E+00,-9.54E-01,1.63E+01,7.65E+00,,,,,150,1.47E+11
1.47E+02,2.85E+00,-2.52E+00,4.55E-01,2.22E+00,-3.53E-01,2.51E+00,2.71E+00,7.29E+00,5.61E-01,,,,,150,1.47E+11
1.47E+02,-3.11E+01,-2.82E+01,5.47E+00,3.02E+00,-1.97E+00,4.43E+00,-3.01E+01,-1.85E+01,4.51E+00,,,,,150,1.47E+11
1.47E+02,-1.33E+01,-2.71E+01,-7.85E+00,1.67E+00,-9.58E-01,2.56E+00,-9.80E+00,-1.82E+01,-9.94E+00,,,,,150,1.47E+11
1.47E+02,-3.89E+00,-1.23E+01,-4.13E+00,-3.15E-01,-6.16E-01,2.46E+00,5.81E-01,-3.95E+00,-6.73E+00,,,,,150,1.47E+11
1.47E+02,2.76E+00,-7.04E+00,-3.29E+00,-1.32E+00,-6.94E-01,9.84E-02,7.75E+00,1.01E+00,-5.84E+00,,,,,150,1.47E+11
1.47E+02,1.17E+01,-2.83E+00,-3.28E+00,-1.49E+00,1.75E+00,-3.50E+00,1.63E+01,5.65E+00,-5.21E+00,,,,,150,1.47E+11
1.47E+02,-5.10E+00,6.69E+00,8.64E+00,6.03E-01,-4.49E+00,-3.46E+00,-2.40E+00,1.60E+01,6.88E+00,,,,,150,1.47E+11
1.47E+02,-8.93E+00,-4.84E+00,1.03E+00,5.26E-01,4.93E+00,2.73E+00,-6.78E+00,4.50E+00,-1.02E+00,,,,,150,1.47E+11
1.47E+02,3.61E+00,-4.60E+00,-4.02E+00,2.71E+00,1.71E+00,1.09E+00,7.38E+00,4.29E+00,-5.73E+00,,,,,150,1.47E+11
1.47E+02,-2.54E+00,-2.67E+01,-9.34E-01,-5.74E-01,-1.53E+00,3.00E-01,1.58E+00,-1.80E+01,-2.81E+00,,,,,150,1.47E+11
1.47E+02,-2.81E+00,-2.06E+01,-4.92E+00,-1.39E+00,5.71E-01,-4.63E+00,6.67E-01,-1.15E+01,-6.46E+00,,,,,150,1.47E+11
1.47E+02,-1.27E+01,-2.17E+01,-5.35E+00,-1.87E+00,-2.36E+00,-3.67E+00,-1.14E+01,-1.21E+01,-6.25E+00,,,,,150,1.47E+11
1.47E+02,-1.20E+01,-1.19E+01,1.03E+01,-1.68E+00,1.23E+00,-3.34E+00,-1.25E+01,-2.11E+00,1.06E+01,,,,,150,1.47E+11
1.47E+02,-7.08E+00,-4.13E+00,6.34E+00,-6.39E-01,1.47E+00,-1.54E+00,-8.78E+00,5.49E+00,7.17E+00,,,,,150,1.47E+11
1.47E+02,-9.64E+00,9.67E-01,2.69E+00,3.03E-01,-3.21E-01,3.57E-01,-1.17E+01,1.05E+01,3.46E+00,,,,,150,1.47E+11
1.47E+02,-5.13E+00,9.60E+00,6.22E+00,5.20E-01,-4.12E-01,2.22E+00,-6.60E+00,1.93E+01,6.85E+00,,,,,150,1.47E+11
1.47E+02,-1.39E-01,8.00E-01,3.18E-01,1.87E+00,-5.05E-01,2.54E+00,-5.29E-01,1.06E+01,3.63E-01,,,,,150,1.47E+11
1.48E+02,-2.76E+01,-2.68E+01,7.10E+00,2.68E+00,-2.66E+00,3.80E+00,-2.67E+01,-1.71E+01,6.25E+00,,,,,150,1.48E+11
1.48E+02,-1.23E+01,-3.62E+01,-7.28E+00,2.22E+00,8.50E-01,2.64E+00,-8.70E+00,-2.73E+01,-9.34E+00,,,,,150,1.48E+11
1.48E+02,-7.48E+00,-7.51E+00,-2.59E+00,-5.21E-01,-8.71E-01,2.73E+00,-2.82E+00,7.60E-01,-5.04E+00,,,,,150,1.48E+11
1.48E+02,2.17E+00,-5.54E+00,-3.58E+00,-1.64E+00,-1.50E+00,-2.27E-01,7.28E+00,2.46E+00,-6.05E+00,,,,,150,1.48E+11
1.48E+02,1.37E+01,-2.96E+00,-4.81E+00,-1.33E+00,7.54E-01,-3.79E+00,1.81E+01,5.57E+00,-6.85E+00,,,,,150,1.48E+11
1.48E+02,-1.69E+00,5.34E+00,1.01E+01,4.95E-01,-4.92E+00,-5.22E+00,3.60E-01,1.47E+01,8.26E+00,,,,,150,1.48E+11
1.48E+02,-9.88E+00,-7.38E+00,2.39E+00,4.14E-01,4.73E+00,2.93E+00,-9.31E+00,2.14E+00,1.21E-01,,,,,150,1.48E+11
1.48E+02,7.34E+00,-2.60E+00,1.83E+01,1.29E+00,1.95E+00,2.64E+00,1.01E+01,6.64E+00,1.65E+01,,,,,150,1.48E+11
1.48E+02,6.03E-01,-1.31E+01,-7.28E+00,-1.40E+00,-2.19E+00,-8.61E-02,3.77E+00,-4.04E+00,-9.10E+00,,,,,150,1.48E+11
1.48E+02,3.01E+00,-3.15E+01,-7.76E+00,-1.41E-01,2.47E+00,-2.74E+00,5.82E+00,-2.22E+01,-9.18E+00,,,,,150,1.48E+11
1.48E+02,-8.89E+00,-2.19E+01,-6.38E+00,-1.66E+00,-2.30E+00,-3.95E+00,-7.78E+00,-1.22E+01,-7.23E+00,,,,,150,1.48E+11
1.48E+02,-1.72E+01,-1.45E+01,1.48E+01,-1.87E+00,4.74E+00,-2.57E+00,-1.78E+01,-4.70E+00,1.49E+01,,,,,150,1.48E+11
1.48E+02,-7.60E+00,-6.38E+00,6.10E+00,-7.59E-01,1.08E+00,-2.02E+00,-9.44E+00,3.23E+00,6.74E+00,,,,,150,1.48E+11
1.48E+02,-9.48E+00,-8.55E-01,2.01E+00,3.19E-01,1.22E-03,-4.09E-02,-1.19E+01,8.63E+00,2.60E+00,,,,,150,1.48E+11
1.48E+02,-6.58E+00,7.76E+00,5.34E+00,6.24E-01,-1.14E-01,2.41E+00,-8.53E+00,1.74E+01,5.73E+00,,,,,150,1.48E+11
1.48E+02,8.43E-01,2.23E+00,2.54E+00,2.10E+00,8.00E-02,2.84E+00,1.76E-01,1.20E+01,2.28E+00,,,,,150,1.48E+11
1.48E+02,-1.79E+01,-1.58E+01,5.23E+00,1.65E+00,-2.25E+00,3.15E+00,-1.71E+01,-6.09E+00,3.95E+00,,,,,150,1.48E+11
1.48E+02,-1.82E+01,-4.60E+01,-2.47E+00,1.98E+00,1.93E+00,3.62E+00,-1.50E+01,-3.70E+01,-4.78E+00,,,,,150,1.48E+11
1.48E+02,-5.82E+00,-1.23E+01,-4.31E+00,-3.53E-01,-1.09E+00,2.94E+00,-1.35E+00,-4.05E+00,-7.09E+00,,,,,150,1.48E+11
1.48E+02,8.91E-01,-7.63E+00,-3.69E+00,-1.91E+00,-1.81E+00,1.86E-01,5.93E+00,3.20E-01,-6.45E+00,,,,,150,1.48E+11
1.49E+02,1.26E+01,-4.44E+00,-5.78E+00,-1.60E+00,1.03E+00,-3.25E+00,1.70E+01,4.01E+00,-8.01E+00,,,,,150,1.49E+11
1.49E+02,2.02E+00,2.92E+00,9.77E+00,9.37E-01,-2.78E+00,-5.43E+00,4.46E+00,1.23E+01,8.13E+00,,,,,150,1.49E+11
1.49E+02,-1.63E+01,-3.69E+00,-2.06E+00,-5.92E-01,-3.59E-01,1.30E+00,-1.59E+01,5.86E+00,-4.25E+00,,,,,150,1.49E+11
1.49E+02,8.16E-01,-5.13E+00,4.78E+00,-2.00E-01,4.15E+00,3.36E+00,2.94E+00,4.30E+00,3.17E+00,,,,,150,1.49E+11
1.49E+02,2.05E+00,-6.80E+00,-6.63E+00,-9.31E-01,-3.74E-01,-4.02E-01,5.11E+00,2.34E+00,-8.47E+00,,,,,150,1.49E+11
1.49E+02,1.94E+00,-4.42E+01,-2.33E+00,1.69E-01,8.09E-01,-1.67E+00,4.57E+00,-3.49E+01,-3.79E+00,,,,,150,1.49E+11
1.49E+02,-4.49E+00,-1.88E+01,-3.50E+00,-1.78E+00,-1.08E+00,-3.98E+00,-3.17E+00,-9.12E+00,-4.62E+00,,,,,150,1.49E+11
1.49E+02,-2.09E+01,-1.98E+01,1.75E+00,-2.35E+00,3.50E+00,-2.49E+00,-2.13E+01,-9.99E+00,1.47E+00,,,,,150,1.49E+11
1.49E+02,-8.41E+00,-6.34E+00,6.25E+00,-1.23E+00,3.02E-01,-2.66E+00,-1.01E+01,3.30E+00,6.69E+00,,,,,150,1.49E+11
1.49E+02,-8.75E+00,-2.21E+00,1.54E+00,-8.03E-02,5.03E-01,-9.37E-01,-1.14E+01,7.19E+00,2.29E+00,,,,,150,1.49E+11
1.49E+02,-9.21E+00,4.82E+00,2.92E+00,4.42E-01,6.17E-02,1.81E+00,-1.19E+01,1.42E+01,3.55E+00,,,,,150,1.49E+11
1.49E+02,1.42E+00,3.38E+00,3.89E+00,1.74E+00,-8.05E-01,2.80E+00,-5.01E-02,1.31E+01,4.20E+00,,,,,150,1.49E+11
1.49E+02,-6.98E+00,-1.10E+01,4.54E+00,1.44E+00,-1.75E+00,2.91E+00,-7.05E+00,-1.17E+00,3.89E+00,,,,,150,1.49E+11
1.49E+02,-1.65E+01,-5.52E+01,-1.89E+00,2.53E+00,1.83E+00,5.83E+00,-1.43E+01,-4.58E+01,-3.70E+00,,,,,150,1.49E+11
1.49E+02,-1.12E+01,-1.51E+01,-5.21E+00,6.69E-01,-2.86E-01,3.15E+00,-7.40E+00,-6.42E+00,-7.75E+00,,,,,150,1.49E+11
1.49E+02,-1.22E+00,-7.36E+00,-3.24E+00,-1.34E+00,-2.35E+00,9.94E-01,3.60E+00,7.42E-01,-5.96E+00,,,,,150,1.49E+11
1.49E+02,1.16E+01,-4.29E+00,-5.01E+00,-1.16E+00,-1.05E+00,-2.02E+00,1.61E+01,4.04E+00,-7.63E+00,,,,,150,1.49E+11
1.49E+02,6.49E+00,3.91E+00,6.32E+00,-3.91E-01,-3.75E-01,-4.97E+00,9.37E+00,1.30E+01,4.19E+00,,,,,150,1.49E+11
1.49E+02,-1.28E+01,1.58E+00,-4.47E+00,1.49E-01,-3.72E+00,-3.16E-01,-1.20E+01,1.11E+01,-6.90E+00,,,,,150,1.49E+11
1.49E+02,-1.66E+00,-5.77E+00,8.74E+00,7.44E-01,4.77E+00,3.04E+00,1.33E-01,3.60E+00,6.45E+00,,,,,150,1.49E+11
1.50E+02,8.00E-01,-9.35E+00,-6.42E+00,-7.38E-01,-1.72E-01,3.89E-01,3.84E+00,-3.74E-01,-8.92E+00,,,,,150,1.50E+11
1.50E+02,3.53E+00,-2.79E+01,-4.08E+00,-3.17E-01,2.82E+00,-2.33E+00,6.45E+00,-1.88E+01,-6.25E+00,,,,,150,1.50E+11
1.50E+02,-1.03E+01,-2.48E+01,-5.80E+00,-1.97E+00,-2.64E+00,-3.66E+00,-8.97E+00,-1.52E+01,-7.48E+00,,,,,150,1.50E+11
1.50E+02,-1.58E+01,-1.65E+01,4.29E+00,-2.60E+00,3.08E+00,-3.29E+00,-1.61E+01,-6.68E+00,3.64E+00,,,,,150,1.50E+11
1.50E+02,-7.29E+00,-8.40E+00,7.61E+00,-1.68E+00,3.87E-01,-2.43E+00,-9.13E+00,1.23E+00,7.88E+00,,,,,150,1.50E+11
1.50E+02,-7.21E+00,-2.08E+00,1.74E+00,1.70E-01,6.50E-01,-8.79E-01,-9.91E+00,7.33E+00,2.28E+00,,,,,150,1.50E+11
1.50E+02,-9.24E+00,4.58E+00,1.94E+00,5.75E-01,6.21E-01,1.58E+00,-1.20E+01,1.40E+01,2.21E+00,,,,,150,1.50E+11
1.50E+02,6.92E-01,6.81E+00,3.04E+00,1.39E+00,-3.85E-01,2.64E+00,-9.03E-01,1.65E+01,2.95E+00,,,,,150,1.50E+11
1.50E+02,-1.54E+00,-4.80E+00,2.60E+00,1.61E+00,-8.47E-01,2.93E+00,-1.78E+00,4.97E+00,1.70E+00,,,,,150,1.50E+11
1.50E+02,-3.08E+01,-6.08E+01,-1.43E+00,2.03E+00,2.54E+00,6.30E+00,-2.91E+01,-5.14E+01,-3.38E+00,,,,,150,1.50E+11
1.50E+02,-7.82E+00,-1.75E+01,-6.12E+00,3.04E-01,-1.19E+00,2.62E+00,-4.31E+00,-8.68E+00,-8.61E+00,,,,,150,1.50E+11
1.50E+02,-8.76E-01,-8.12E+00,-3.12E+00,-1.25E+00,-2.04E+00,1.25E+00,3.48E+00,2.88E-01,-5.65E+00,,,,,150,1.50E+11
